country,food_category,consumption,co2_emmission,category
Russia,Beef,16.979999999999997,523.97,Animal Products
Russia,Lamb & Goat,1.4,49.03,Animal Products
Russia,Fish,20.82,33.24,Animal Products
Russia,Eggs,15.43,14.17,Animal Products
Russia,Milk - inc. cheese,163.57,232.99,Animal Products
Russia,Wheat and Wheat Products,130.99,24.98,Non-Animal Products
Russia,Rice,4.71,6.03,Non-Animal Products
Russia,Soybeans,0.05,0.02,Non-Animal Products
Russia,Nuts inc. Peanut Butter,1.62,2.87,Non-Animal Products
Croatia,Pork,42.790000000000006,151.46,Animal Products
Croatia,Poultry,8.52,9.15,Animal Products
Croatia,Beef,12.41,382.95,Animal Products
Croatia,Lamb & Goat,1.71,59.88,Animal Products
Croatia,Fish,15.83,25.28,Animal Products
Croatia,Eggs,8.48,7.79,Animal Products
Croatia,Milk - inc. cheese,231.02,329.06,Animal Products
Croatia,Wheat and Wheat Products,106.59,20.33,Non-Animal Products
Croatia,Rice,2.64,3.38,Non-Animal Products
Croatia,Soybeans,0.0,0.0,Non-Animal Products
Croatia,Nuts inc. Peanut Butter,3.88,6.87,Non-Animal Products
Belarus,Pork,40.37,142.89,Animal Products
Belarus,Poultry,31.29,33.61,Animal Products
Belarus,Beef,17.110000000000003,527.98,Animal Products
Belarus,Lamb & Goat,0.11,3.85,Animal Products
Belarus,Fish,15.75,25.15,Animal Products
Belarus,Eggs,15.86,14.57,Animal Products
Belarus,Milk - inc. cheese,133.73,190.49,Animal Products
Belarus,Wheat and Wheat Products,60.48,11.53,Non-Animal Products
Belarus,Rice,3.17,4.06,Non-Animal Products
Belarus,Soybeans,0.3,0.14,Non-Animal Products
Belarus,Nuts inc. Peanut Butter,3.36,5.95,Non-Animal Products
Spain,Pork,48.92,173.15,Animal Products
Spain,Poultry,28.630000000000003,30.75,Animal Products
Spain,Beef,12.15,374.92,Animal Products
Spain,Lamb & Goat,2.16,75.64,Animal Products
Spain,Fish,28.83,46.03,Animal Products
Spain,Eggs,13.32,12.239999999999998,Animal Products
Spain,Milk - inc. cheese,164.29,234.01,Animal Products
Spain,Wheat and Wheat Products,93.88,17.9,Non-Animal Products
Spain,Rice,8.32,10.65,Non-Animal Products
Spain,Soybeans,0.02,0.01,Non-Animal Products
Spain,Nuts inc. Peanut Butter,7.44,13.17,Non-Animal Products
Paraguay,Pork,26.24,92.88,Animal Products
Paraguay,Poultry,6.39,6.859999999999999,Animal Products
Paraguay,Beef,19.81,611.2900000000001,Animal Products
Paraguay,Lamb & Goat,0.56,19.610000000000003,Animal Products
Paraguay,Fish,3.6,5.75,Animal Products
Paraguay,Eggs,18.83,17.3,Animal Products
Paraguay,Milk - inc. cheese,75.72,107.86,Animal Products
Paraguay,Wheat and Wheat Products,31.51,6.01,Non-Animal Products
Paraguay,Rice,4.91,6.28,Non-Animal Products
Paraguay,Soybeans,0.0,0.0,Non-Animal Products
Paraguay,Nuts inc. Peanut Butter,1.6,2.83,Non-Animal Products
New Caledonia,Pork,19.9,70.44000000000001,Animal Products
New Caledonia,Poultry,44.36,47.65,Animal Products
New Caledonia,Beef,16.07,495.89,Animal Products
New Caledonia,Lamb & Goat,1.95,68.29,Animal Products
New Caledonia,Fish,19.38,30.94,Animal Products
New Caledonia,Eggs,8.850000000000001,8.129999999999999,Animal Products
New Caledonia,Milk - inc. cheese,108.0,153.84,Animal Products
New Caledonia,Wheat and Wheat Products,81.75,15.59,Non-Animal Products
New Caledonia,Rice,17.47,22.36,Non-Animal Products
New Caledonia,Soybeans,0.55,0.25,Non-Animal Products
New Caledonia,Nuts inc. Peanut Butter,2.96,5.24,Non-Animal Products
South Africa,Pork,4.159999999999999,14.72,Animal Products
South Africa,Poultry,37.57,40.36,Animal Products
South Africa,Beef,18.03,556.37,Animal Products
South Africa,Lamb & Goat,4.28,149.89,Animal Products
South Africa,Fish,5.56,8.88,Animal Products
South Africa,Eggs,7.21,6.619999999999999,Animal Products
South Africa,Milk - inc. cheese,55.75,79.41000000000001,Animal Products
